index	cname	code	exp	memo	unit
209	科学研究、技术服务和地质勘查业城镇私营单位就业人员平均工资	A040B0E	平均工资指单位就业人员在一定时期内平均每人所得的货币工资额。它表明一定时期职工工资收入的高低程度，是反映就业人员工资水平的主要指标。计算公式为:平均工资=报告期实际支付的全部就业人员工资总额/报告期全部就业人员平均人数	1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。	元
210	水利、环境和公共设施管理业城镇私营单位就业人员平均工资	A040B0F	平均工资指单位就业人员在一定时期内平均每人所得的货币工资额。它表明一定时期职工工资收入的高低程度，是反映就业人员工资水平的主要指标。计算公式为:平均工资=报告期实际支付的全部就业人员工资总额/报告期全部就业人员平均人数	1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。	元
211	居民服务和其他服务业城镇私营单位就业人员平均工资	A040B0G	平均工资指单位就业人员在一定时期内平均每人所得的货币工资额。它表明一定时期职工工资收入的高低程度，是反映就业人员工资水平的主要指标。计算公式为:平均工资=报告期实际支付的全部就业人员工资总额/报告期全部就业人员平均人数	1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。	元
212	教育城镇私营单位就业人员平均工资	A040B0H	平均工资指单位就业人员在一定时期内平均每人所得的货币工资额。它表明一定时期职工工资收入的高低程度，是反映就业人员工资水平的主要指标。计算公式为:平均工资=报告期实际支付的全部就业人员工资总额/报告期全部就业人员平均人数	1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。	元
213	卫生、社会保障和社会福利业城镇私营单位就业人员平均工资	A040B0I	平均工资指单位就业人员在一定时期内平均每人所得的货币工资额。它表明一定时期职工工资收入的高低程度，是反映就业人员工资水平的主要指标。计算公式为:平均工资=报告期实际支付的全部就业人员工资总额/报告期全部就业人员平均人数	1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。	元
214	文化、体育和娱乐业城镇私营单位就业人员平均工资	A040B0J	平均工资指单位就业人员在一定时期内平均每人所得的货币工资额。它表明一定时期职工工资收入的高低程度，是反映就业人员工资水平的主要指标。计算公式为:平均工资=报告期实际支付的全部就业人员工资总额/报告期全部就业人员平均人数	1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。	元
215	公共管理和社会组织城镇私营单位就业人员平均工资	A040B0K	平均工资指单位就业人员在一定时期内平均每人所得的货币工资额。它表明一定时期职工工资收入的高低程度，是反映就业人员工资水平的主要指标。计算公式为:平均工资=报告期实际支付的全部就业人员工资总额/报告期全部就业人员平均人数	1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。	元
216	城镇登记失业人数	A040C01	城镇登记失业人员指有非农业户口，在一定的劳动年龄内(16周岁至退休年龄)，有劳动能力，无业而要求就业，并在当地劳动保障部门进行失业登记的人员。		万人
217	城镇登记失业率	A040C02	城镇登记失业率城镇登记失业人员与城镇单位就业人员(扣除使用的农村劳动力、聘用的离退休人员、港澳台及外方人员)、城镇单位中的不在岗职工、城镇私营业主、个体户主、城镇私营企业和个体就业人员、城镇登记失业人员之和的比。		%
218	全社会固定资产投资	A050101	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
219	城镇固定资产投资	A050102	城镇固定资产投资指城镇各种登记注册类型的企业、事业、行政单位及个体户进行的计划总投资500万元及500万元以上的建设项目投资。县城及以上区域内发生的投资，县及县以上各级政府及主管部门直接领导、管理的建设项目和企事业单位的投资均为城镇固定资产投资。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
220	房地产开发投资	A050103	房地产开发投资指各种登记注册类型的房地产开发法人单位统一开发的包括统代建、拆迁还建的住宅、厂房、仓库、饭店、宾馆、度假村、写字楼、办公楼等房屋建筑物，配套的服务设施，土地开发工程(如道路、给水、排水、供电、供热、通讯、平整场地等基础设施工程)和土地购置的投资；不包括单纯的土地开发和交易活动。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
221	全社会固定资产投资	A050201	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
222	内资企业全社会固定资产投资	A050202	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
223	国有全社会固定资产投资	A050203	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。国有企业指企业全部资产归国家所有，并按《中华人民共和国企业法人登记管理条例》规定登记注册的非公司制的经济组织。不包括有限责任公司中的国有独资公司。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
224	集体全社会固定资产投资	A050204	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。集体企业指企业资产归集体所有，并按《中华人民共和国企业法人登记管理条例》规定登记注册的经济组织。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
225	股份合作全社会固定资产投资	A050205	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。股份合作企业指以合作制为基础，由企业职工共同出资入股，吸收一定比例的社会资产投资组建，实行自主经营，自负盈亏，共同劳动，民主管理，按劳分配与按股分红相结合的一种集体经济组织。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
226	联营全社会固定资产投资	A050206	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。联营企业指两个及两个以上相同或不同所有制性质的企业法人或事业单位法人，按自愿、平等、互利的原则，共同投资组成的经济组织。联营企业包括国有联营企业、集体联营企业、国有与集体联营企业和其他联营企业。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
227	有限责任公司全社会固定资产投资	A050207	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。有限责任公司指根据《中华人民共和国公司登记管理条例》规定登记注册，由两个以上，五十个以下的股东共同出资，每个股东以其所认缴的出资额对公司承担有限责任，公司以其全部资产对其债务承担责任的经济组织。有限责任公司包括国有独资公司以及其他有限责任公司。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
228	股份有限公司全社会固定资产投资	A050208	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。股份有限公司指根据《中华人民共和国公司登记管理条例》规定登记注册，其全部注册资本由等额股份构成并通过发行股票筹集资本，股东以其认购的股份对公司承担有限责任，公司以其全部资产对其债务承担责任的经济组织。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
229	私营全社会固定资产投资	A050209	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。私营企业指由自然人投资设立或由自然人控股，以雇佣劳动为基础的营利性经济组织。包括按照《公司法》、《合伙企业法》、《私营企业暂行条例》规定登记注册的私营独资企业、私营合伙企业、私营有限责任公司和私营股份有限公司。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
230	个体全社会固定资产投资	A05020A	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。个体户指公民在法律的允许范围内，依法经核准登记，从事工商业经营的个体劳动者。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
231	其他全社会固定资产投资	A05020B	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
232	港、澳、台商投资全社会固定资产投资	A05020C	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
233	外商投资全社会固定资产投资	A05020D	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
234	全社会固定资产本年资金来源小计	A050301	固定资产投资的实际到位资金根据固定资产投资的资金来源不同，分为国家预算资金、国内贷款、利用外资、自筹资金和其他资金。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。||投资资金来源为财务拨款数，各项相加不等于投资总额。	亿元
235	全社会固定资产投资中国家预算内资金	A050302	国家预算包括一般预算、政府性基金预算、国有资本经营预算和社保基金预算。各类预算中用于固定资产投资的资金全部作为国家预算资金填报，其中一般预算中用于固定资产投资的部分包括基建投资、车购税、灾后恢复重建基金和其他财政投资。各级政府债券也应归入国家预算资金。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。||投资资金来源为财务拨款数，各项相加不等于投资总额。	亿元
236	全社会固定资产投资中国内贷款	A050303	国内贷款指报告期固定资产项目投资单位向银行及非银行金融机构借入用于固定资产投资的各种国内借款，包括银行利用自有资金及吸收存款发放的贷款、上级主管部门拨入的国内贷款、国家专项贷款(包括煤代油贷款、劳改煤矿专项贷款等)，地方财政专项资金安排的贷款、国内储备贷款、周转贷款等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。||投资资金来源为财务拨款数，各项相加不等于投资总额。	亿元
237	全社会固定资产投资中利用外资	A050304	利用外资指报告期收到的境外(包括外国及港澳台地区)资金(包括设备、材料、技术在内)。包括对外借款(外国政府贷款、国际金融组织贷款、出口信贷、外国银行商业贷款、对外发行债券和股票)、外商直接投资、外商其他投资(包括利用外商投资收益在国内进行固定资产再投资活动的资金)。不包括我国自有外汇资金(国家外汇、地方外汇、留成外汇、调剂外汇和国内银行自有资金发放的外汇贷款等)。各类外资按报告期末的外汇牌价(中间价)折成人民币计算。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。||投资资金来源为财务拨款数，各项相加不等于投资总额。	亿元
238	全社会固定资产投资中自筹资金	A050305	自筹资金指固定资产投资单位在报告期收到的，由各企、事业单位筹集用于固定资产投资的资金，包括各类企事业单位的自有资金和从其他单位筹集的用于固定资产投资的资金，但不包括各类财政性资金、从各类金融机构借入资金和国外资金。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。||投资资金来源为财务拨款数，各项相加不等于投资总额。	亿元
239	全社会固定资产投资中其他资金	A050306	其他资金指在报告期收到的除以上各种资金之外的用于固定资产投资的资金，包括社会集资、个人资金、无偿捐赠的资金及其他单位拨入的资金等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。||投资资金来源为财务拨款数，各项相加不等于投资总额。	亿元
240	全社会住宅投资	A050401		从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
241	城镇住宅投资	A050402		从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
242	房地产住宅投资	A050403		从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
243	全社会固定资产投资	A050501	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
244	农、林、牧、渔业全社会固定资产投资	A050502	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
245	采矿业全社会固定资产投资	A050503	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
246	制造业全社会固定资产投资	A050504	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
247	电力、燃气及水的生产和供应业全社会固定资产投资	A050505	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
248	建筑业全社会固定资产投资	A050506	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
249	交通运输、仓储和邮政业全社会固定资产投资	A050507	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
250	信息传输计算机服务和软件业全社会固定资产投资	A050508	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
251	批发和零售业全社会固定资产投资	A050509	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
252	住宿和餐饮业全社会固定资产投资	A05050A	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
253	金融业全社会固定资产投资	A05050B	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
254	房地产业全社会固定资产投资	A05050C	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
255	租赁和商务服务业全社会固定资产投资	A05050D	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
256	科学研究、技术服务和地质勘查业全社会固定资产投资	A05050E	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
257	水利、环境和公共设施管理业全社会固定资产投资	A05050F	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
258	居民服务和其他服务业全社会固定资产投资	A05050G	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
259	教育全社会固定资产投资	A05050H	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
260	卫生、社会保障和社会福利业全社会固定资产投资	A05050I	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
261	文化、体育和娱乐业全社会固定资产投资	A05050J	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
262	公共管理和社会组织全社会固定资产投资	A05050K	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
263	国际组织全社会固定资产投资	A05050L	全社会固定资产投资是以货币形式表现的在一定时期内全社会建造和购置固定资产的工作量以及与此有关的费用的总称。该指标是反映固定资产投资规模、结构和发展速度的综合性指标，又是观察工程进度和考核投资效果的重要依据。全社会固定资产投资按登记注册类型可分为国有、集体、联营、股份制、私营和个体、港澳台商、外商、其他等。	从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。	亿元
264	全社会建设总规模	A050601	建设总规模是指在报告期内所有施工项目的计划总投资。		亿元
265	全社会在建总规模	A050602	在建总规模是指在报告期末所有在建项目的计划总投资。		亿元
266	全社会在建净规模	A050603	在建净规模是指报告期末所有在建项目建成投产尚需的投资总量。		亿元
267	房屋施工面积	A050701	房屋施工面积指报告期内施工的全部房屋建筑面积。包括本期新开工的面积、上期跨入本期继续施工的房屋面积、上期停缓建在本期恢复施工的房屋面积、本期竣工的房屋面积以及本期施工后又停缓建的房屋面积。多层建筑应填各层建筑面积之和。		万平方米
